BabyAI-GoToImpUnlock-v0, Seed: 1, Steps: 147
BabyAI-GoToImpUnlock-v0, Seed: 2, Steps: 72
BabyAI-GoToImpUnlock-v0, Seed: 3, Steps: 145
BabyAI-GoToImpUnlock-v0, Seed: 4, Steps: 78
BabyAI-GoToImpUnlock-v0, Seed: 5, Steps: 213
BabyAI-GoToImpUnlock-v0, Seed: 7, Steps: 16
BabyAI-GoToImpUnlock-v0, Seed: 8, Steps: 22
BabyAI-GoToImpUnlock-v0, Seed: 9, Steps: 33
BabyAI-GoToSeq-v0, Seed: 0, Steps: 121
BabyAI-GoToSeq-v0, Seed: 1, Steps: 35
BabyAI-GoToSeq-v0, Seed: 2, Steps: 101
BabyAI-GoToSeq-v0, Seed: 3, Steps: 178
BabyAI-GoToSeq-v0, Seed: 4, Steps: 24
BabyAI-GoToSeq-v0, Seed: 5, Steps: 74
BabyAI-GoToSeq-v0, Seed: 6, Steps: 107
BabyAI-GoToSeq-v0, Seed: 7, Steps: 53
BabyAI-GoToSeq-v0, Seed: 8, Steps: 13
BabyAI-GoToSeq-v0, Seed: 9, Steps: 81
BabyAI-GoToSeqS5R2-v0, Seed: 0, Steps: 15
BabyAI-GoToSeqS5R2-v0, Seed: 1, Steps: 20
BabyAI-GoToSeqS5R2-v0, Seed: 2, Steps: 2
BabyAI-GoToSeqS5R2-v0, Seed: 3, Steps: 16
BabyAI-GoToSeqS5R2-v0, Seed: 4, Steps: 17
BabyAI-GoToSeqS5R2-v0, Seed: 5, Steps: 7
BabyAI-GoToSeqS5R2-v0, Seed: 6, Steps: 10
BabyAI-GoToSeqS5R2-v0, Seed: 7, Steps: 11
BabyAI-GoToSeqS5R2-v0, Seed: 8, Steps: 14
BabyAI-GoToSeqS5R2-v0, Seed: 9, Steps: 20
BabyAI-GoToRedBlueBall-v0, Seed: 0, Steps: 5
BabyAI-GoToRedBlueBall-v0, Seed: 1, Steps: 5
BabyAI-GoToRedBlueBall-v0, Seed: 2, Steps: 5
BabyAI-GoToRedBlueBall-v0, Seed: 3, Steps: 7
BabyAI-GoToRedBlueBall-v0, Seed: 4, Steps: 9
BabyAI-GoToRedBlueBall-v0, Seed: 5, Steps: 7
BabyAI-GoToRedBlueBall-v0, Seed: 6, Steps: 7
BabyAI-GoToRedBlueBall-v0, Seed: 7, Steps: 6
BabyAI-GoToRedBlueBall-v0, Seed: 8, Steps: 2
BabyAI-GoToRedBlueBall-v0, Seed: 9, Steps: 4
BabyAI-GoToDoor-v0, Seed: 0, Steps: 5
BabyAI-GoToDoor-v0, Seed: 1, Steps: 4
BabyAI-GoToDoor-v0, Seed: 2, Steps: 3
BabyAI-GoToDoor-v0, Seed: 3, Steps: 4
BabyAI-GoToDoor-v0, Seed: 4, Steps: 5
BabyAI-GoToDoor-v0, Seed: 5, Steps: 10
BabyAI-GoToDoor-v0, Seed: 6, Steps: 4
BabyAI-GoToDoor-v0, Seed: 7, Steps: 5
BabyAI-GoToDoor-v0, Seed: 8, Steps: 12
BabyAI-GoToDoor-v0, Seed: 9, Steps: 9
BabyAI-GoToObjDoor-v0, Seed: 0, Steps: 3
BabyAI-GoToObjDoor-v0, Seed: 1, Steps: 12
BabyAI-GoToObjDoor-v0, Seed: 2, Steps: 10
